timestamp,machine_id,operator_id,engine_hours,fuel_used_L,load_cycles,idling_time_min,seatbelt_status,proximity_distance_m,safety_alert,task_id,task_type,task_duration_actual,login_device_id,login_location,data_signature_valid,firmware_version
2026-09-13 06:00:00,EXC001,OP1001,2207.5,5389.2,4257,6.5,Fastened,17.6,No,TASK-OP1001-0001,Loading,60.3,TAB-1001-A,North Pit - Zone 1,True,v2.3.1
2026-09-13 06:00:00,EXC002,OP1002,1339.8,7111.1,2843,8.5,Fastened,13.1,No,TASK-OP1002-0001,Transport,61.7,TAB-1002-A,North Pit - Zone 2,True,v2.3.1
2026-09-13 06:00:00,LDR001,OP1003,2289.8,18398.2,2716,7.1,Fastened,15.4,No,TASK-OP1003-0001,Loading,35.7,TAB-1003-A,South Quarry - Zone 1,True,v2.2.4
2026-09-13 06:00:00,EXC001,OP1004,2224.4,5693.1,4300,5.0,Fastened,14.8,No,TASK-OP1004-0001,Digging,115.0,TAB-1004-A,South Quarry - Zone 2,True,v2.3.1
2026-09-13 06:45:00,EXC001,OP1001,2208.5,5409.3,4258,6.9,Fastened,22.6,No,TASK-OP1001-0001,Loading,60.3,TAB-1001-A,North Pit - Zone 1,True,v2.3.1
2026-09-13 06:45:00,EXC002,OP1002,1341.0,7131.7,2844,6.6,Fastened,10.2,No,TASK-OP1002-0001,Transport,61.7,TAB-1002-A,North Pit - Zone 2,True,v2.3.1
2026-09-13 06:45:00,LDR001,OP1003,2290.9,18416.9,2717,7.1,Fastened,24.2,No,TASK-OP1003-0001,Loading,35.7,TAB-1003-A,South Quarry - Zone 1,True,v2.2.4
2026-09-13 06:45:00,EXC001,OP1004,2225.4,5706.4,4303,5.5,Fastened,19.6,No,TASK-OP1004-0001,Digging,115.0,TAB-1004-A,South Quarry - Zone 2,True,v2.3.1
2026-09-13 07:30:00,EXC001,OP1001,2209.4,5425.5,4261,4.3,Fastened,17.3,No,TASK-OP1001-0001,Loading,60.3,TAB-1001-A,North Pit - Zone 1,True,v2.3.1
2026-09-13 07:30:00,EXC002,OP1002,1341.8,7152.5,2847,2.0,Fastened,18.8,No,TASK-OP1002-0001,Transport,61.7,TAB-1002-A,North Pit - Zone 2,True,v2.3.1
2026-09-13 07:30:00,LDR001,OP1003,2292.0,18436.9,2718,5.9,Fastened,24.3,No,TASK-OP1003-0001,Loading,35.7,TAB-1003-A,South Quarry - Zone 1,True,v2.2.4
2026-09-13 07:30:00,EXC001,OP1004,2226.6,5722.1,4305,11.7,Fastened,18.7,No,TASK-OP1004-0001,Digging,115.0,TAB-1004-A,South Quarry - Zone 2,True,v2.3.1
2026-09-13 08:15:00,EXC001,OP1001,2210.6,5440.9,4262,9.7,Fastened,20.3,No,TASK-OP1001-0001,Loading,60.3,TAB-1001-A,North Pit - Zone 1,True,v2.3.1
2026-09-13 08:15:00,EXC002,OP1002,1342.8,7169.0,2850,8.2,Fastened,18.7,No,TASK-OP1002-0002,Grading,56.7,TAB-1002-A,North Pit - Zone 2,True,v2.3.1
2026-09-13 08:15:00,LDR001,OP1003,2292.9,18453.4,2722,0.0,Fastened,21.3,No,TASK-OP1003-0001,Loading,35.7,TAB-1003-A,South Quarry - Zone 1,True,v2.2.4
2026-09-13 08:15:00,EXC001,OP1004,2227.6,5737.1,4306,6.8,Fastened,17.7,No,TASK-OP1004-0001,Digging,115.0,TAB-1004-A,South Quarry - Zone 2,True,v2.3.1
2026-09-13 09:00:00,EXC001,OP1001,2211.5,5456.3,4265,3.6,Fastened,19.6,No,TASK-OP1001-0001,Loading,60.3,TAB-1001-A,North Pit - Zone 1,True,v2.3.1
2026-09-13 09:00:00,EXC002,OP1002,1343.9,7186.1,2851,5.7,Fastened,16.8,No,TASK-OP1002-0002,Grading,56.7,TAB-1002-A,North Pit - Zone 2,True,v2.3.1
2026-09-13 09:00:00,LDR001,OP1003,2293.9,18474.1,2723,6.3,Fastened,16.8,No,TASK-OP1003-0001,Loading,35.7,TAB-1003-A,South Quarry - Zone 1,True,v2.2.4
2026-09-13 09:00:00,EXC001,OP1004,2228.6,5758.4,4307,0.2,Fastened,17.9,No,TASK-OP1004-0001,Digging,115.0,TAB-1004-A,South Quarry - Zone 2,True,v2.3.1
2026-09-13 09:45:00,EXC001,OP1001,2212.6,5473.7,4269,3.6,Fastened,16.6,No,TASK-OP1001-0001,Loading,60.3,TAB-1001-A,North Pit - Zone 1,True,v2.3.1
2026-09-13 09:45:00,EXC002,OP1002,1344.8,7204.5,2853,1.6,Fastened,15.1,No,TASK-OP1002-0002,Grading,56.7,TAB-1002-A,North Pit - Zone 2,True,v2.3.1
2026-09-13 09:45:00,LDR001,OP1003,2295.0,18491.6,2724,6.3,Fastened,10.0,No,TASK-OP1003-0001,Loading,35.7,TAB-1003-A,South Quarry - Zone 1,True,v2.2.4
2026-09-13 09:45:00,EXC001,OP1004,2229.8,5777.8,4309,6.2,Fastened,27.9,No,TASK-OP1004-0002,Loading,45.9,TAB-1004-A,South Quarry - Zone 2,True,v2.3.1
2026-09-13 10:30:00,EXC001,OP1001,2213.6,5494.3,4271,5.7,Fastened,12.3,No,TASK-OP1001-0002,Grading,132.1,TAB-1001-A,North Pit - Zone 1,True,v2.3.1
2026-09-13 10:30:00,EXC002,OP1002,1345.9,7221.8,2854,4.6,Fastened,22.2,No,TASK-OP1002-0003,Loading,62.4,TAB-1002-A,North Pit - Zone 2,True,v2.3.1
2026-09-13 10:30:00,LDR001,OP1003,2296.2,18512.1,2726,5.3,Fastened,19.4,No,TASK-OP1003-0002,Digging,176.3,TAB-1003-A,South Quarry - Zone 1,True,v2.2.4
2026-09-13 10:30:00,EXC001,OP1004,2230.8,5797.0,4311,5.4,Fastened,19.2,No,TASK-OP1004-0002,Loading,45.9,TAB-1004-A,South Quarry - Zone 2,True,v2.3.1
2026-09-13 11:15:00,EXC001,OP1001,2214.4,5508.6,4274,0.0,Fastened,16.3,No,TASK-OP1001-0002,Grading,132.1,TAB-1001-A,North Pit - Zone 1,True,v2.3.1
2026-09-13 11:15:00,EXC002,OP1002,1346.9,7234.9,2857,7.0,Fastened,10.9,No,TASK-OP1002-0003,Loading,62.4,TAB-1002-A,North Pit - Zone 2,True,v2.3.1
2026-09-13 11:15:00,LDR001,OP1003,2297.2,18532.7,2727,10.4,Fastened,15.9,No,TASK-OP1003-0002,Digging,176.3,TAB-1003-A,South Quarry - Zone 1,True,v2.2.4
2026-09-13 11:15:00,EXC001,OP1004,2231.9,5814.1,4314,5.9,Fastened,13.3,No,TASK-OP1004-0002,Loading,45.9,TAB-1004-A,South Quarry - Zone 2,True,v2.3.1
2026-09-13 12:00:00,EXC001,OP1001,2215.5,5529.3,4278,2.0,Fastened,18.9,No,TASK-OP1001-0002,Grading,132.1,TAB-1001-A,North Pit - Zone 1,True,v2.3.1
2026-09-13 12:00:00,EXC002,OP1002,1348.0,7250.0,2858,7.0,Fastened,16.5,No,TASK-OP1002-0003,Loading,62.4,TAB-1002-A,North Pit - Zone 2,True,v2.3.1
2026-09-13 12:00:00,LDR001,OP1003,2298.0,18548.6,2731,3.6,Fastened,16.0,No,TASK-OP1003-0002,Digging,176.3,TAB-1003-A,South Quarry - Zone 1,True,v2.2.4
2026-09-13 12:00:00,EXC001,OP1004,2233.0,5827.0,4318,9.4,Fastened,21.0,No,TASK-OP1004-0002,Loading,45.9,TAB-1004-A,South Quarry - Zone 2,True,v2.3.1
2026-09-13 12:45:00,EXC001,OP1001,2216.4,5548.0,4279,2.3,Fastened,13.8,No,TASK-OP1001-0003,Grading,62.1,TAB-1001-A,North Pit - Zone 1,True,v2.3.1
2026-09-13 12:45:00,EXC002,OP1002,1349.0,7262.7,2860,4.0,Fastened,20.4,No,TASK-OP1002-0004,Digging,70.3,TAB-1002-A,North Pit - Zone 2,True,v2.3.1
